Make,Avg_Range
JAGUAR,205.54
TESLA,100.68
TH!NK,100.00
"WHEEGO ELECTRIC CARS",100.00
CHEVROLET,97.05
NISSAN,86.87
FIAT,85.65
SMART,62.47
KIA,56.95
AUDI,56.22
"AZURE DYNAMICS",56.00
PORSCHE,48.64
HONDA,46.62
BMW,40.21
POLESTAR,37.18
FISKER,33.00
CHRYSLER,32.29
VOLKSWAGEN,31.77
LEXUS,29.60
HYUNDAI,29.26
MITSUBISHI,28.83
CADILLAC,28.53
TOYOTA,26.75
MAZDA,26.00
LINCOLN,23.44
MINI,22.41
JEEP,22.25
"LAND ROVER",21.98
BENTLEY,18.67
VOLVO,15.56
FORD,14.23
MERCEDES-BENZ,13.88
SUBARU,3.94
RIVIAN,0.00
LUCID,0.00
GENESIS,0.00
